时间,水解pH,水解pH_change,水解VFA,水解VFA_change,水解TS,水解VS,水解氨氮,水解氨氮_change,水解COD,水解COD_change,发酵pH,发酵pH_change,发酵VFA,发酵VFA_change,发酵碱度,发酵碱度_change,发酵TS,发酵VS,发酵氨氮,发酵氨氮_change,发酵COD,发酵COD_change,进料量,产气量,产气量_change,产气量_提升,单位VS产气量,单位VS产甲烷量_change
2020.02.06,6.23,3.901379310344828,473,10150.904347826086,0.0312,0.5438,1261.0,371.9184210526316,36100,54915.7894736842,8.0,7.713947368421064,720.0,3727.058026315789,9600,9557.894736842089,0.0221,0.3241,1687.73,1689.1666666666663,9860.0,10434.021739130438,9.24,475.5,1013.4874,537.9874267578125,2757.351089,3526.2342710597372
2020.02.07,6.67,3.901379310344828,170,14420.660869565218,0.0295,0.514,1314.0,500.5552631578949,27060,70057.89473684209,7.98,7.739473684210539,5.47,3701.567697368421,9620,10036.842105263133,0.0217,0.318,1740.0,1831.666666666666,8625.0,12485.434782608698,9.24,448.9,1057.6437,608.7436767578125,2912.727218,4117.568532757932
2020.02.08,6.84,3.901379310344828,103,14420.660869565218,0.0291,0.5205,1324.0,500.5552631578949,28840,70057.89473684209,8.07,7.739473684210539,816.0,3701.567697368421,9400,10036.842105263133,0.0218,0.3297,1687.75,1831.666666666666,8640.0,12485.434782608698,9.24,430.0,1054.9146,624.91455078125,2793.123099,4111.40399844581
2020.02.09,6.7,3.901379310344828,134,14420.660869565218,0.029,0.5086,1400.3,500.5552631578949,32940,70057.89473684209,7.99,7.739473684210539,720.0,3701.567697368421,9600,10036.842105263133,0.022,0.3215,1779.75,1831.666666666666,9632.0,12485.434782608698,10.12,407.0,1083.5505,676.550537109375,2478.830652,3959.614178825728
2020.02.10,6.95,3.901379310344828,107,14895.078260869564,0.0313,0.5265,1375.0,350.4789473684211,28124,72221.05263157893,7.99,7.9309210526315965,780.0,3242.7417763157896,9700,8976.315789473678,0.0224,0.3128,1613.75,1847.4999999999995,9780.0,9864.184782608698,11.0,388.0,1099.8511,711.85107421875,1945.824387,3309.459344575885
2020.02.11,7.17,3.945172413793104,107,16634.608695652172,0.0406,0.5083,1400.0,350.4789473684211,26400,67894.73684210525,8.05,7.943684210526334,720.0,2478.031907894737,9400,9592.10526315788,0.0213,0.3297,1669.75,1815.8333333333328,8640.0,10320.05434782609,12.65,367.9,1028.3246,660.4245849609375,1281.151336,2148.582902006188
2020.02.12,7.38,3.901379310344828,107,14420.660869565218,0.0288,0.4849,1244.0,500.5552631578949,26700,70057.89473684209,8.03,7.739473684210539,570.0,3701.567697368421,9520,10036.842105263133,0.0217,0.3103,1731.5,1831.666666666666,8897.0,12485.434782608698,13.2,373.0,1177.7133,804.7132568359375,1839.490476,3484.813382150405
2020.02.13,7.42,3.901379310344828,107,14420.660869565218,0.0281,0.4669,1291.0,500.5552631578949,24300,70057.89473684209,7.94,7.739473684210539,600.0,3701.567697368421,9600,10036.842105263133,0.0218,0.3156,1704.35,1831.666666666666,8235.0,12485.434782608698,14.3,276.0,1203.5531,927.5531005859375,1337.365654,3499.1099560297207
2020.02.14,7.46,3.901379310344828,107,14420.660869565218,0.0276,0.4508,1315.0,500.5552631578949,25200,70057.89473684209,7.97,7.739473684210539,660.0,3701.567697368421,9700,10036.842105263133,0.0216,0.3101,1534.0,1831.666666666666,9300.0,12485.434782608698,11.55,263.5,1098.142,834.6419677734375,1666.913104,4168.137919370871
2020.02.16,7.55,3.901379310344828,107,14420.660869565218,0.028,0.4675,1180.0,500.5552631578949,21470,70057.89473684209,8.14,7.739473684210539,510.0,3701.567697368421,9600,10036.842105263133,0.0213,0.2983,1731.5,1831.666666666666,8417.3,12485.434782608698,15.4,240.0,1226.9011,986.901123046875,1082.326244,3319.7682100404018
2020.02.17,7.42,3.901379310344828,107,14420.660869565218,0.0274,0.4585,1133.0,500.5552631578949,21760,70057.89473684209,8.18,7.739473684210539,570.0,3701.567697368421,9510,10036.842105263133,0.0212,0.2987,1751.0,1831.666666666666,6360.0,12485.434782608698,15.4,266.47,1218.2123,951.7422802734375,1252.117291,3434.5584737274403
2020.02.18,6.68,3.901379310344828,80,14420.660869565218,0.0289,0.4869,1170.0,500.5552631578949,3000,70057.89473684209,8.08,7.739473684210539,523.0,3701.567697368421,9600,10036.842105263133,0.0214,0.3015,1751.0,1831.666666666666,6570.0,12485.434782608698,15.4,307.0,1246.7517,939.751708984375,1287.915447,3138.1969738951757
2020.02.19,6.71,3.901379310344828,30,14420.660869565218,0.0293,0.496,1128.2,500.5552631578949,28810,70057.89473684209,8.05,7.739473684210539,613.0,3701.567697368421,9380,10036.842105263133,0.0213,0.3081,1704.25,1831.666666666666,8175.0,12485.434782608698,15.4,339.9,1257.5522,917.65224609375,1380.665465,3064.8878308879125
2020.02.20,6.12,3.77,300,13313.686956521738,0.0311,0.5358,1052.0,414.7973684210527,20301,77628.94736842104,8.11,7.662894736842116,516.0,3242.7417763157896,9420,9592.10526315788,0.0218,0.3418,1640.0,1815.8333333333328,7576.0,12143.532608695656,15.4,346.13,1216.8812,870.7512255859375,1226.204027,2586.562261405797
2020.02.21,5.99,3.901379310344828,900,10150.904347826086,0.0327,0.5502,1127.0,371.9184210526316,21408,54915.7894736842,8.13,7.713947368421064,600.0,3727.058026315789,9440,9557.894736842089,0.0226,0.327,1527.75,1689.1666666666663,9780.0,10434.021739130438,15.4,351.5,1227.4866,875.986572265625,1153.303433,2416.4969740926304
2020.02.22,5.96,3.857586206896552,900,14262.521739130434,0.0298,0.5158,1106.4,350.4789473684211,31180,67894.73684210525,8.05,8.250000000000027,600.0,3701.567697368421,9400,9386.842105263144,0.0231,0.3646,1629.0,1657.4999999999995,8932.0,10661.956521739134,15.4,394.0,1279.5067,885.5067138671875,1513.16126,2948.3756213885517
2020.02.23,5.83,4.164137931034484,1150,16318.330434782609,0.0313,0.3547,1624.0,371.9184210526316,32340,28957.8947368421,8.03,8.160657894736866,624.0,3497.6450657894734,9430,9352.631578947356,0.0223,0.3429,1704.32,1736.6666666666663,7390.0,12827.336956521742,15.4,425.49,1096.7601,671.2701318359375,2262.405384,3499.0002496146453
2020.02.24,5.66,3.901379310344828,1950,10150.904347826086,0.033,0.5716,1261.0,371.9184210526316,30580,54915.7894736842,8.05,7.713947368421064,660.0,3727.058026315789,9380,9557.894736842089,0.022,0.3316,1687.75,1689.1666666666663,7537.0,10434.021739130438,15.4,439.0,1234.8994,795.8994140625,1373.86783,2318.7998785610366
2020.02.25,5.75,3.901379310344828,1800,14262.521739130434,0.0325,0.571,1156.6,329.0394736842106,27060,67894.73684210525,8.01,7.701184210526327,700.0,3880.0,9560,9489.473684210512,0.0216,0.3249,1678.75,1879.166666666666,8932.0,12827.336956521742,15.4,465.0,1355.7455,890.7454833984375,1479.17677,2587.5964189895835
2020.02.26,5.66,3.98896551724138,2250,14578.8,0.0337,0.5787,1214.5,329.0394736842106,28060,67894.73684210525,8.01,8.09684210526318,960.0,3370.1934210526315,9400,8976.315789473678,0.0225,0.3579,1790.25,1847.4999999999995,11250.0,10206.086956521742,15.4,479.0,1267.5637,788.563720703125,1449.902251,2302.1004078336355
2020.02.27,5.49,3.901379310344828,2745,14578.8,0.037,0.6198,1937.0,371.9184210526316,35880,32202.631578947363,7.93,7.713947368421064,1080.0,3370.1934210526315,9400,10207.894736842078,0.0227,0.3347,1876.25,1673.333333333333,9534.0,9636.250000000002,15.4,503.0,1214.1084,711.1083984375,1294.795803,1875.1758954679067
2020.02.28,5.79,3.945172413793104,1850,13788.104347826087,0.0351,0.6034,1141.43,307.6,29836,77628.94736842104,7.91,7.879868421052648,1113.0,3676.0773684210526,9400,9694.736842105243,0.022,0.3412,1722.5,1784.1666666666663,9375.0,12485.434782608698,15.4,516.0,1343.9761,827.97607421875,1438.215197,2247.5893184044153
2020.02.29,6.63,3.901379310344828,75,14578.8,0.0366,0.6072,1175.5,371.9184210526316,30147,32202.631578947363,7.98,7.713947368421064,1200.0,3370.1934210526315,9200,10207.894736842078,0.0226,0.3486,1722.5,1673.333333333333,13015.0,9636.250000000002,15.4,508.0,1192.3824,684.3824462890625,1349.389909,1900.38052012737
2020.03.01,6.95,3.77,75,13313.686956521738,0.0334,0.5811,1145.0,414.7973684210527,31147,77628.94736842104,7.97,7.662894736842116,1160.0,3242.7417763157896,9200,9592.10526315788,0.022,0.3475,1831.0,1815.8333333333328,10050.0,12143.532608695656,15.4,552.0,1237.2054,685.2054443359375,1678.913532,2257.7836545233085
2020.03.02,7.11,3.813793103448276,75,18057.86086956521,0.0324,0.5689,1168.0,414.7973684210527,31284,50589.47368421052,7.94,7.765000000000013,1260.0,3497.6450657894734,9200,8771.052631578945,0.0224,0.3782,1591.25,1673.333333333333,10072.5,8382.608695652176,15.4,572.48,1220.1451,647.6651416015625,1833.436905,2344.5980280954936
2020.03.03,7.07,3.901379310344828,75,14262.521739130434,0.0318,0.5613,1297.2,329.0394736842106,26476,67894.73684210525,8.07,7.701184210526327,1300.0,3880.0,9200,9489.473684210512,0.0218,0.3221,1740.5,1879.166666666666,8175.0,12827.336956521742,15.4,593.5,1351.7153,758.21533203125,1962.841154,2682.260302341876
2020.03.04,7.12,3.77,75,13313.686956521738,0.0308,0.5474,1408.2,414.7973684210527,21347,77628.94736842104,8.0,7.662894736842116,1170.0,3242.7417763157896,9400,9592.10526315788,0.0217,0.3441,1769.25,1815.8333333333328,1772.5,12143.532608695656,15.4,596.5,1221.9591,625.4591064453125,2088.533917,2567.077658678213
2020.03.05,7.14,3.77,75,13313.686956521738,0.0299,0.5282,1548.0,414.7973684210527,22940,77628.94736842104,8.05,7.662894736842116,1030.0,3242.7417763157896,9480,9592.10526315788,0.0217,0.3421,1653.0,1815.8333333333328,8860.0,12143.532608695656,15.4,570.51,1212.296,641.7860205078125,2132.456938,2718.797980999472
2020.03.06,7.58,3.901379310344828,75,14420.660869565218,0.0283,0.5024,1548.0,500.5552631578949,22940,70057.89473684209,8.1,7.739473684210539,960.0,3701.567697368421,9500,10036.842105263133,0.0211,0.3254,1653.0,1831.666666666666,8860.0,12485.434782608698,15.4,551.51,1266.404,714.894052734375,2289.833576,3154.8162548646433
2020.03.08,7.29,3.98896551724138,75,13155.547826086957,0.0282,0.5198,1440.8,1100.8605263157897,24700,59242.10526315788,8.13,8.045789473684232,900.0,3625.096710526316,9400,9284.210526315775,0.0248,0.3389,1722.5,1910.8333333333328,7390.0,12257.500000000004,15.4,466.03,1184.8987,718.868681640625,1876.787426,2863.081278612843
2020.03.09,7.29,3.857586206896552,75,14262.521739130434,0.0278,0.5047,1440.8,350.4789473684211,24700,67894.73684210525,8.11,8.250000000000027,1070.0,3701.567697368421,9440,9386.842105263144,0.0228,0.3605,1722.5,1657.4999999999995,7390.0,10661.956521739134,15.4,458.0,1279.5768,821.5767822265625,1926.965643,3230.1753229239625
2020.03.10,6.78,3.77,46,13313.686956521738,0.0298,0.5296,1440.8,414.7973684210527,24700,77628.94736842104,8.22,7.662894736842116,660.0,3242.7417763157896,9600,9592.10526315788,0.0214,0.3415,1722.5,1815.8333333333328,7390.0,12143.532608695656,15.4,459.0,1214.3811,755.381103515625,1716.860619,2725.3896644814736
2020.03.11,6.69,3.98896551724138,75,14578.8,0.0316,0.5607,1440.8,329.0394736842106,24700,67894.73684210525,8.12,8.09684210526318,600.0,3370.1934210526315,9500,8976.315789473678,0.0224,0.354,1722.5,1847.4999999999995,7390.0,10206.086956521742,15.4,505.0,1261.1453,756.145263671875,1682.52038,2521.072405663071
2020.03.12,6.4,3.945172413793104,300,13788.104347826087,0.0335,0.5933,1440.8,307.6,24700,77628.94736842104,8.11,7.879868421052648,720.0,3676.0773684210526,9300,9694.736842105243,0.0217,0.35,1722.5,1784.1666666666663,7390.0,12485.434782608698,15.4,505.0,1332.5831,827.5831298828125,1499.887952,2374.723226284075
2020.03.13,6.48,5.828275862068972,150,16792.747826086954,0.0328,0.5801,1528.8,350.4789473684211,36180,57078.94736842104,8.06,8.122368421052656,960.0,2681.954539473684,9500,9797.368421052612,0.0294,0.3457,1740.5,1720.833333333333,9850.0,9066.413043478264,15.4,503.0,1039.5978,536.5977783203125,1560.550654,1935.2027741674651
2020.03.14,7.04,3.901379310344828,150,12206.71304347826,0.0314,0.5575,1528.8,350.4789473684211,36180,62486.842105263146,8.01,7.803289473684225,936.0,3370.1934210526315,9600,10139.4736842105,0.0254,0.3694,1740.5,1752.4999999999995,9850.0,8838.478260869568,15.4,509.0,1194.6589,685.658935546875,1716.44486,2417.1703611589674
2020.03.15,7.0,6.791724137931045,150,17109.02608695652,0.0321,0.557,1528.8,414.7973684210527,36180,59242.10526315788,8.1,7.713947368421064,720.0,2885.877171052632,9500,9455.263157894722,0.0284,0.4007,1740.5,1704.9999999999995,9850.0,7470.869565217393,15.4,501.0,888.0597,387.0596923828125,1654.108877,1759.218467396241
2020.03.16,6.55,3.98896551724138,150,14578.8,0.0324,0.5766,1528.8,329.0394736842106,36180,67894.73684210525,8.18,8.09684210526318,960.0,3370.1934210526315,9200,8976.315789473678,0.0224,0.3622,1740.5,1847.4999999999995,9850.0,10206.086956521742,15.4,494.5,1263.0208,768.520751953125,1562.547548,2394.576314141844
2020.03.17,6.64,4.032758620689656,150,12681.130434782608,0.035,0.6297,1528.8,329.0394736842106,36180,62486.842105263146,8.14,8.084078947368443,1020.0,3727.058026315789,9200,8942.10526315789,0.0231,0.3725,1678.75,1847.4999999999995,8162.5,12143.532608695656,15.4,539.02,1306.94,767.91994140625,1443.742483,2100.3503204728236
2020.03.18,6.66,3.901379310344828,300,16792.747826086954,0.0332,0.5849,1528.8,307.6,36180,72221.05263157893,8.1,7.726710526315802,1020.0,3242.7417763157896,9300,9592.10526315788,0.0267,0.3634,1678.75,1768.333333333333,8162.5,14764.782608695656,15.4,567.5,1263.3108,695.810791015625,1725.173406,2304.243362513954
2020.03.19,5.78,3.901379310344828,1515,14262.521739130434,0.0344,0.6089,1432.2,329.0394736842106,32460,67894.73684210525,8.08,7.701184210526327,660.0,3880.0,9500,9489.473684210512,0.0217,0.3236,1810.0,1879.166666666666,8345.0,12827.336956521742,15.4,591.5,1377.9108,786.4107666015625,1667.005092,2329.992490808406
2020.03.20,5.76,3.945172413793104,1630,13788.104347826087,0.0333,0.6155,1432.2,307.6,32460,77628.94736842104,8.14,7.879868421052648,580.0,3676.0773684210526,9560,9694.736842105243,0.0216,0.3486,1810.0,1784.1666666666663,8345.0,12485.434782608698,15.4,612.8,1346.3116,733.5116455078125,1764.952655,2326.543387386959
2020.03.21,5.6,4.032758620689656,2385,12681.130434782608,0.0347,0.6338,1432.2,329.0394736842106,32460,62486.842105263146,8.02,8.084078947368443,960.0,3727.058026315789,9570,8942.10526315789,0.0233,0.3628,1810.0,1847.4999999999995,8345.0,12143.532608695656,15.4,691.79,1315.2145,623.4244775390625,1856.860014,2118.1305082038566
2020.03.22,5.31,3.901379310344828,3600,17425.304347826088,0.0708,0.807,1432.2,393.3578947368421,32460,79792.10526315788,7.93,8.18618421052634,960.0,3523.135394736842,9600,8976.315789473678,0.0213,0.352,1810.0,1863.3333333333328,8345.0,13169.239130434786,15.4,735.93,1561.2179,825.2878955078126,760.3548295,967.8199558045186
2020.03.23,5.42,4.164137931034484,3450,14895.078260869564,0.0577,0.7653,1432.2,393.3578947368421,32460,79792.10526315788,7.95,8.160657894736866,900.0,3701.567697368421,9300,9797.368421052612,0.0221,0.3579,1810.0,1942.4999999999995,8345.0,11459.728260869568,15.4,774.67,1541.0857,766.415693359375,1035.608974,1236.1099623306488
